userid,label,friends/follower,inf,type1,type2,type3,times,,,,,,,,,,,
1174357622,1,19.1,0.058823529,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0
1174357974,1,17.41666667,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1
1174359487,1,13.38461538,0.111111111,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1
1174360562,1,1,0.1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1
1174361588,1,17.23076923,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0
1174366058,1,18,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0
1174366548,1,14.69230769,0.1,0.909090909,0.090909091,0,0,0,0,1,1,1,1,1,0,1,1,0
1174367258,1,14.38461538,0.052631579,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1
1174367996,1,32.33333333,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1
1174372298,1,19.27272727,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0
1174373569,1,40.2,0.133333333,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1
1174374654,1,23.22222222,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
1174379054,1,15.15384615,0.045454545,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1
1174379509,1,20.44444444,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1
1174382539,1,15.07142857,0.055555556,0.9,0.1,0,1,0,0,0,1,0,1,0,1,0,1,0
1174383524,1,19.6,0,0.882352941,0.117647059,0,0,0,1,1,0,0,1,1,0,0,1,0
1174387664,1,10.77777778,0.125,0.888888889,0.111111111,0,0,0,0,0,1,0,1,1,1,0,1,0
1174394299,1,14.21428571,0,0.916666667,0.083333333,0,0,0,1,0,1,0,1,0,1,0,0,0
1174395410,1,15.66666667,0.0625,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1
1174396243,1,13.58333333,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0
1174396562,1,25.625,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1
1174397630,1,21.88888889,0,0.913043478,0.086956522,0,0,1,1,0,1,0,1,1,0,0,1,1
1174398458,1,10.7,0.052631579,0.863636364,0.136363636,0,0,0,0,0,1,1,1,0,1,0,1,0
1174399688,1,28.5,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
1174400497,1,12.70588235,0.066666667,0.882352941,0.117647059,0,0,0,1,0,0,0,1,1,0,0,0,0
1174402410,1,20.22222222,0.105263158,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0
1174402488,1,17.83333333,0.133333333,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1
1174403390,1,13.14285714,0.04,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0
1174403612,1,13.61538462,0.111111111,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1
1174407720,1,29.85714286,0.071428571,0.933333333,0.066666667,0,0,1,0,1,1,0,0,1,0,0,0,1
1174409298,1,28.42857143,0.055555556,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1
1174410324,1,16.66666667,0.058823529,0.944444444,0.055555556,0,1,0,0,0,0,0,1,1,1,0,1,0
1174410596,1,19.09090909,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0
1174411070,1,22.625,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0
1174412929,1,16,0.105263158,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0
1174413146,1,28.57142857,0.0625,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1174413920,1,19.6,0.176470588,0.894736842,0.105263158,0,0,0,1,1,0,0,1,1,1,1,0,1
1174414201,1,29.14285714,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0
1174414464,1,27.85714286,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
1174417388,1,18.8,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0
1174417476,1,14.75,0.071428571,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1
1174418749,1,17.54545455,0,0.916666667,0.083333333,0,0,0,0,0,1,1,0,0,0,0,1,0
1174420022,1,24.625,0,0.952380952,0.047619048,0,1,0,1,1,1,0,1,0,1,0,1,0
1174420404,1,21.33333333,0,0.722222222,0.277777778,0,0,0,0,0,0,0,1,1,1,0,0,1
1174420830,1,31.28571429,0.0625,0.888888889,0.111111111,0,0,1,0,1,0,0,1,0,0,1,1,1
1174425121,1,25,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1
1174425702,1,23.77777778,0.055555556,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
1174427628,1,12.11111111,0,0.904761905,0.095238095,0,0,0,1,0,1,1,0,0,1,0,0,1
1174429087,1,28.14285714,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0
1174429314,1,15,0.05,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0
1174430569,1,36.5,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0
1174431032,1,19.63636364,0,0.884615385,0.115384615,0,0,0,1,0,0,0,1,0,1,0,0,1
1174431079,1,14.4375,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1
1174433286,1,12.78571429,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0
1174433768,1,21.11111111,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1
1174434985,1,17.45454545,0.043478261,1,0,0,0,0,1,0,1,0,1,1,1,0,1,0
1174435530,1,54.25,0,0.894736842,0.105263158,0,0,0,0,1,1,1,1,1,0,0,0,0
1174435964,1,29,0.058823529,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0
1174436491,1,16.46153846,0.142857143,0.913043478,0.086956522,0,0,1,0,0,1,1,1,1,1,1,1,0
1174437590,1,19.1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0
1174437858,1,22,0.173913043,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1
1174438993,1,14.66666667,0.105263158,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1
1174441682,1,16.92307692,0.038461538,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0
1174443134,1,15.14285714,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0
1174444022,1,12.5625,0.0625,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0
1174444872,1,19.18181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174445989,1,29.57142857,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0
1174448394,1,37.33333333,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1
1174450668,1,15.46666667,0,0.909090909,0.090909091,0,0,1,0,1,1,1,1,0,0,0,1,1
1174450896,1,19.81818182,0.047619048,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0
1174450927,1,21.7,0.066666667,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0
1174453920,1,15.21428571,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
1174457058,1,16.16666667,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1
1174464710,1,26.25,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0
1174471358,1,19.27272727,0.214285714,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
1174472161,1,13.8,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0
1174472216,1,26.42857143,0.052631579,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0
1174497528,1,30.85714286,0.055555556,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0
1174509800,1,21.22222222,0.176470588,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0
1174510238,1,18.83333333,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1
1174514420,1,21.77777778,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1
1174515163,1,18.54545455,0.0625,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
1174515206,1,32.14285714,0.071428571,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0
1174518524,1,20.625,0.052631579,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0
1174529258,1,16.46153846,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1
1174530324,1,38.4,0.058823529,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0
1174534844,1,13.33333333,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0
1174536254,1,24,0,1,0,0,0,1,0,1,0,1,1,0,1,1,1,1
1174538528,1,29.42857143,0.05,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0
1174539534,1,21.77777778,0,0.95,0.05,0,0,1,0,1,1,0,1,1,1,0,1,1
1174540080,1,18.81818182,0.045454545,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0
1174541538,1,13.46666667,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1174543622,1,34.83333333,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0
1174545259,1,34.5,0,0.882352941,0.117647059,0,0,1,1,0,1,1,1,1,1,0,0,0
1174546525,1,20,0.052631579,0.904761905,0.095238095,0,0,0,1,1,1,0,1,0,1,0,1,1
1174549280,1,16.09090909,0.066666667,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1
1174550834,1,25,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0
1174550876,1,15.35714286,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0
1174552537,1,18.4,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0
1174553017,1,18.36363636,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0
1174554060,1,35.5,0,0.875,0.125,0,0,0,0,0,1,0,0,1,1,0,1,0
1174560156,1,33.28571429,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1
1174560212,1,21.4,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0
1174562730,1,16.38461538,0,0.866666667,0.133333333,0,0,0,0,0,1,0,1,0,1,0,0,0
1174564464,1,12.1875,0,0.941176471,0.058823529,0,0,0,0,0,1,0,1,1,0,1,1,0
1174566572,1,25.5,0.086956522,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0
1174575835,1,13.23529412,0.045454545,0.916666667,0.083333333,0,0,0,0,1,0,0,1,0,1,0,0,0
1174577719,1,15.91666667,0.071428571,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0
1174577899,1,14.58333333,0.095238095,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0
1174580582,1,16,0,0.894736842,0.105263158,0,0,0,0,1,1,0,1,0,1,0,0,1
1174581626,1,40.33333333,0,0.913043478,0.086956522,0,0,0,1,0,1,1,1,1,1,0,0,1
1174585309,1,18.90909091,0.058823529,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0
1174585699,1,17.9,0.105263158,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1
1174600752,1,25,0,0.92,0.08,0,0,0,0,0,1,0,0,1,1,0,1,0
1174601928,1,19.4,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1
1174602234,1,20.9,0.111111111,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1
1174602264,1,14.78571429,0.055555556,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1
1174603392,1,13.75,0,0.909090909,0.090909091,0,0,0,1,1,1,0,1,0,1,1,0,1
1174616234,1,17.45454545,0.090909091,1,0,0,0,0,1,1,1,0,1,0,1,0,1,1
1174616899,1,23.4,0.052631579,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1
1174619377,1,21.2,0,0.913043478,0.086956522,0,1,0,0,0,1,1,1,1,1,0,1,0
1174619839,1,27.125,0.058823529,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1
1174620793,1,24.125,0,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0
1174621862,1,19.33333333,0.086956522,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1
1174622065,1,22.55555556,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1
1174622690,1,12.4,0,0.933333333,0.066666667,0,0,1,1,1,0,0,0,1,0,0,1,0
1174622822,1,18.77777778,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0
1174627123,1,16.08333333,0.052631579,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0
1174628442,1,17.5,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1
1174631851,1,24.875,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0
1174632889,1,12,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0
1174638079,1,26.625,0,0.9,0.1,0,0,0,0,1,1,0,0,0,1,0,1,1
1174638181,1,25,0,0.833333333,0.166666667,0,0,0,1,0,1,0,1,0,0,0,0,0
1174641072,1,23.44444444,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0
1174641955,1,24.75,0.111111111,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0
1174642170,1,24.5,0.052631579,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0
1174643364,1,43.2,0.04,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1174643767,1,52.75,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1
1174644632,1,27.28571429,0,0.928571429,0.071428571,0,0,1,0,0,0,1,1,1,0,0,1,1
1174644924,1,17.8,0,0.944444444,0.055555556,0,0,0,1,0,1,0,1,1,1,0,1,0
1174648291,1,22.33333333,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
1174648296,1,15,0.1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1
1174649256,1,18.5,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
1174649970,1,14.125,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0
1174651890,1,20.66666667,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1
1174652005,1,16.58333333,0.153846154,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0
1174656450,1,20.36363636,0.038461538,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1
1174657488,1,26.375,0.052631579,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1
1174660242,1,16,0.043478261,1,0,0,0,0,1,1,0,1,1,1,1,0,1,1
1174662523,1,23.33333333,0.1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1
1174665463,1,13.13333333,0,0.857142857,0.142857143,0,0,0,0,1,1,1,1,1,0,0,0,0
1174670046,1,26,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1
1174672777,1,20.2,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0
1174676743,1,13.05882353,0.047619048,0.875,0.125,0,0,0,1,0,0,0,0,1,0,0,0,1
1174679113,1,38.66666667,0.045454545,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0
1174679323,1,31.28571429,0.055555556,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0
1174679592,1,20.6,0.086956522,0.958333333,0.041666667,0,0,0,0,1,1,0,1,0,0,0,1,0
1174679700,1,17.90909091,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0
1174680708,1,13.13333333,0.055555556,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0
1174682425,1,33.83333333,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0
1174684076,1,9.888888889,0.066666667,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1
1174684957,1,15.1875,0.052631579,0.904761905,0.095238095,0,0,1,0,0,1,1,1,0,0,0,1,1
1174688455,1,18.7,0.071428571,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0
1174688940,1,34.5,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0
1174694204,1,21.2,0,0.95,0.05,0,0,1,1,1,0,1,1,0,1,1,0,0
1174695224,1,21.22222222,0.111111111,0.947368421,0.052631579,0,1,0,1,1,1,0,0,1,0,1,1,0
1174696087,1,23,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1174699399,1,18.54545455,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1
1174700300,1,25.75,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0
1174703832,1,48.25,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1
1174706054,1,26.71428571,0.066666667,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1
1174706798,1,23.55555556,0.08,0.961538462,0.038461538,0,0,0,1,1,1,1,0,0,1,0,0,1
1174707146,1,22,0,0.931034483,0.068965517,0,0,0,0,0,1,0,1,1,1,0,0,1
1174709269,1,28.14285714,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0
1174710902,1,22.9,0.047619048,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1
1174711836,1,30,0.047619048,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1
1174712372,1,21.4,0,0.866666667,0.133333333,0,0,0,0,0,1,0,1,0,0,0,1,0
1174713944,1,19.27272727,0,0.909090909,0.090909091,0,0,0,1,1,1,0,1,1,0,0,0,1
1174717800,1,28.125,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1
1174719445,1,19.18181818,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0
1174723886,1,35,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0
1174724869,1,29,0.0625,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0
1174725366,1,22.66666667,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1
1174725740,1,12.61538462,0.066666667,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0
1174727760,1,26.125,0,0.904761905,0.095238095,0,1,0,0,1,0,1,1,0,0,1,1,1
1174728433,1,15.84615385,0,0.875,0.125,0,0,0,1,0,0,1,0,1,1,1,1,0
1174728950,1,24.1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0
1174733100,1,31,0.105263158,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0
1174734559,1,12.625,0.166666667,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1174735315,1,12.4,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0
1174738568,1,8.6,0.035714286,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0
1174739257,1,16.91666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174739436,1,18.54545455,0.055555556,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0
1174739780,1,21.22222222,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1174739790,1,22.66666667,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1
1174740535,1,25.57142857,0.052631579,0.904761905,0.095238095,0,0,1,0,1,1,1,1,1,0,0,0,0
1174742864,1,9.611111111,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1
1174743122,1,14.92857143,0.045454545,1,0,0,1,1,1,0,1,0,1,1,1,0,1,1
1174743524,1,23.66666667,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1174744404,1,23.77777778,0.045454545,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1
1174750884,1,21.88888889,0.058823529,0.80952381,0.19047619,0,0,0,0,1,1,1,1,0,1,0,1,0
1174751144,1,13.5625,0,0.888888889,0.111111111,0,0,0,0,1,1,0,1,1,0,1,1,0
1174753764,1,14.38461538,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0
1174754300,1,19.09090909,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1174756808,1,24.125,0.052631579,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0
1174757941,1,23.33333333,0.0625,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0
1174759088,1,21.54545455,0.105263158,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0
1174760396,1,17.27272727,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1
1174762351,1,38.6,0.04,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0
1174763443,1,17.85714286,0.043478261,0.92,0.08,0,0,0,1,0,0,1,0,0,1,0,0,1
1174767468,1,17.08333333,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0
1174768531,1,37.4,0.05,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1
1174771410,1,20.6,0.05,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0
1174771632,1,16.41666667,0.047619048,0.913043478,0.086956522,0,0,1,0,0,1,1,1,1,1,0,0,1
1174773318,1,22.11111111,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0
1174773870,1,17.46153846,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0
1174775082,1,18.25,0.047619048,0.913043478,0.086956522,0,0,0,1,1,1,1,0,1,1,0,1,1
1174777898,1,14.84615385,0.055555556,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0
1174778406,1,11.44444444,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0
1174778426,1,16.69230769,0.105263158,0.863636364,0.136363636,0,0,0,0,1,1,1,1,0,0,0,1,1
1174780532,1,15.15384615,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
1174780674,1,19.22222222,0.052631579,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
1174780777,1,16.76923077,0,0.909090909,0.090909091,0,0,0,0,1,1,0,1,1,0,0,1,1
1174781010,1,22.33333333,0.052631579,0.863636364,0.136363636,0,0,0,1,0,1,0,1,1,0,1,0,1
1174781425,1,16.75,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
1174785036,1,22.88888889,0.052631579,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0
1174787304,1,18.46153846,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0
1174789676,1,17.16666667,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0
1174790898,1,19.44444444,0,0.904761905,0.095238095,0,0,0,1,1,1,0,1,1,1,0,1,0
1174792195,1,15.5,0.166666667,0.947368421,0.052631579,0,1,1,1,0,0,0,1,0,0,1,0,1
1174793102,1,14.6,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1
1174797008,1,12.875,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1
1174800103,1,24.44444444,0.133333333,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0
1174804556,1,14.78571429,0,0.916666667,0.083333333,0,0,0,0,1,1,0,1,1,0,0,1,1
1174810141,1,12.4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174811528,1,22.33333333,0.055555556,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0
1174812978,1,13.07142857,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1
1174816452,1,21.66666667,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0
1174818390,1,22.6,0.086956522,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1
1174818847,1,13.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174819256,1,12.4,0.1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0
1174823942,1,28.5,0,0.904761905,0.095238095,0,0,0,0,1,1,0,1,0,1,1,0,1
1174824824,1,13.35714286,0.230769231,0.928571429,0.071428571,0,1,0,0,1,0,0,1,0,1,0,0,0
1174826773,1,20.9,0,0.904761905,0.095238095,0,1,0,0,1,1,0,1,0,1,0,1,0
1174831039,1,24.625,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0
1174832804,1,26.875,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0
1174832875,1,15.76923077,0.111111111,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0
1174842428,1,20.6,0.0625,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
1174845720,1,16,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0
1174847785,1,24.33333333,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0
1174848200,1,32.85714286,0.058823529,0.894736842,0.105263158,0,0,0,0,1,0,0,1,1,0,0,1,1
1174850017,1,24.33333333,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0
1174850107,1,29.42857143,0.05,0.952380952,0.047619048,0,0,0,0,1,1,0,1,0,1,0,1,0
1174851198,1,24.22222222,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1
1174851200,1,21.6,0.058823529,0.894736842,0.105263158,0,0,0,0,0,0,0,1,1,0,0,1,1
1174851499,1,24.44444444,0.086956522,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0
1174851782,1,28.375,0.058823529,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1
1174853904,1,26.125,0.117647059,0.894736842,0.105263158,0,0,1,0,1,1,0,1,1,0,0,1,1
1174854703,1,23.33333333,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1174855417,1,20.09090909,0.055555556,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1
1174860890,1,25.22222222,0,0.909090909,0.090909091,0,0,0,0,1,1,0,1,1,0,0,0,1
1174865594,1,27.14285714,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0
1174869769,1,14.84615385,0,0.904761905,0.095238095,0,0,0,1,0,1,0,1,1,0,0,1,1
1174872318,1,19.5,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
1174872906,1,26.75,0.045454545,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0
1174873122,1,24.11111111,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0
1174874869,1,23.88888889,0.090909091,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1
1174876764,1,11.55555556,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1
1174879028,1,13.42857143,0.19047619,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1
1174885004,1,22.1,0.0625,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1
1174885962,1,13.1875,0.047619048,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1
1174887464,1,42.6,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1
1174889395,1,17.5,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1
1174889473,1,33,0,0.904761905,0.095238095,0,0,0,1,1,0,1,1,1,1,0,1,0
1174898036,1,15.71428571,0.045454545,0.916666667,0.083333333,0,0,0,0,1,1,0,1,0,1,0,0,1
1174898930,1,14.5,0,0.909090909,0.090909091,0,0,0,0,1,1,1,1,1,1,0,0,1
1174900471,1,23.625,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1
1174901988,1,21.5,0.058823529,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1
1174902313,1,23.625,0.076923077,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0
1174905187,1,20.4,0.055555556,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0
1174905692,1,15.76923077,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1
1174906022,1,21.8,0.055555556,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1
1174908596,1,29,0,0.904761905,0.095238095,0,0,0,0,0,0,0,1,1,1,1,1,1
1174909136,1,30.28571429,0.052631579,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0
1174909753,1,23.2,0.052631579,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1
1174911457,1,12.33333333,0.055555556,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0
1174912687,1,15.76923077,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1
1174913503,1,28.28571429,0.066666667,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1174914138,1,24.44444444,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0
1174915280,1,15.07142857,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
1174917374,1,19.36363636,0,0.894736842,0.105263158,0,0,1,1,1,0,0,0,1,0,0,0,0
1174918586,1,21.27272727,0.095238095,0.913043478,0.086956522,0,0,1,0,1,1,0,1,1,1,0,0,1
