userid,screenname,follower,friend
'2285574216,emirbilek2,150,560
'2253139091,WarotV,169,656
'538812381,VooZiptv,6,0
'1341648236,arcadia1040,6,0
'187930880,1Vany1,8,0
'1624128684,GaleraNero,72,317
'2560088693,Cici11G,20,150
'2729945477,mona_cleuren,15,203
'368852497,singh030,72,0
'760199971685609472,0728qq,10,85
'145411349,txutxinlumbier,20,0
'1310823170,_juleczka,24,0
'392964688,TiffanyCarden,13,0
'629292079,BSjari,11,0
'2972534516,fabiaodedengsha,28,264
'421734054,SamirTota,8,0
'538774005,ChiDthach,55,0
'443221536,nelsayed2000,7,0
'1438939448,obey_kevin_baii,35,0
'1638898123,BlkbasiTolga,0,0
'1163562415,alesandrocoppol,31,1583
'1228406401,rhddmltjd,11,119
'2187701093,LMartonengo,17,229
'1587703814,orm5109,6,1
'905416747,lijian6918,18,185
'18210304,instaluk,9,0
'332104620,korfive10,10,0
'2828241814,JSzyntar,32,314
'2532369311,drizzo94,13,0
'4573073894,Lois_4869,13,0
'776581663,tasha1331,24,181
'721866108,AndrzejB2,13,147
'485118213,JamborAnita,4,0
'2302625119,a1210049186,17,76
'169188025,GiuliaThominhas,41,302
'2186719490,JAY02600900,24,318
'277526881,dimaria5019,22,0
'278140852,Benshad0w,82,670
'1520915186,Alassanetraor13,17,63
'417725337,ALESSANDRODIFED,21,0
'2716519549,Aatorex,38,457
'272230985,oil_loveyoulike,3,0
'269607586,Riveerito,3,34
'414022865,CarrieDong,10,50
'158199678,CrunkSpunk,40,0
'4707008804,x1aAY0gGAiAx4JR,47,0
'1180675542,DMitchell321,49,480
'434876935,wjnoticias,93,822
'535289906,Andakosovo,8,138
'985028198,Liza69245052,5,16
'923134436,OngezwaMatiwane,47,0
'263899543,Subkwon,43,129
'542584841,jnysn,13,0
'4410380128,AgustinRafael59,41,492
'111727376,Enlineaymas,58,534
'560928343,eunevik,19,0
'2755013936,FireHawk109,4,0
'2944453949,daddy_lil_gurrl,54,143
'450858923,JenessaClark,9,7
'2257161297,PaulSeclin,47,441
'1271315172,kevinmeeks23,7,66
'2569724505,alimikdan,0,0
'2939756737,toshiki_333,4,0
'2150710339,fritz_frei,10,42
'100451668,Pininter,26,265
'363839928,aleja_2423,163,0
'475030586,cook198014,26,0
'387188997,MOENIEE_,75,0
'2713622594,Regina28Naomi,131,0
'2540607594,leoohadd,46,419
'2375269188,Bud_Aiew,40,193
'1875298140,adil23643963,30,83
'370704904,JannDovenDidulo,30,0
'1677428605,xxxibasskey,1,54
'1250662920,AkhileshwarMish,35,31
'1450765657,SEPTIWIRA,18,0
'4804295425,evanzhongs,76,261
'2862324650,avamtikawe,35,214
'4552315814,wholwhite,12,0
'15846982,1veritas,114,963
'2835964842,1967Alen,69,0
'2201322271,s122703775,9,0
'331183855,NewbPhotography,29,0
'862813201,LaczkTnde,27,0
'190466755,socoolwoong,75,134
'2268830737,mohamed14198612,27,89
'77485255,mailnu20045,13,54
'3237757471,scar90334185,16,166
'83644799,1Anja1962,5,0
'3156530866,desca1997,14,67
'188661936,love2babo,53,0
'3016533852,K_Wai_Li,1,21
'313602150,nontll,16,120
'4021438033,htmt3n,6,19
'149978326,DiLm4Nrozz,16,96
'1643248788,porrastee,15,0
'2396489595,Stefan_Calvin,6,0
'3179222713,AndrewMasaryk,0,23
'318920167,whtndus0,70,675
'1445027156,DoubleElls,22,0
'563469286,kaplan3211,11,0
'700184443,OnlyMinzy1212,10,0
'533139004,Maalinb,28,0
'2616339277,GSmajek,18,0
'367493772,smile__hy,42,239
'1562972058,jeneialexa91,4,0
'3198478673,nhlanhlanhleke2,4,2
'2457455334,derick1314520,17,90
'1681703688,YanYxh,39,251
'491053405,huangsiyao,9,0
'789481326,cecevr,10,60
'367182278,BoRatchadaphan,15,0
'396078283,katPoPo1,10,55
'944194626113757184,BG0781,31,0
'1385863058,8728210,18,134
'539503374,Xscrunch,5,8
'3385787026,DerptheLord,21,0
'52034456,Tinifi81,76,522
'627930005,BroadheadDallas,32,198
'1396521092,ezmxeramir,6,0
'248821562,johnhendrysnr,48,409
'150349493,Markroel,8,0
'357360797,rms6654,13,62
'1487601630,maggieGerold,72,344
'252966641,joycylu,61,0
'4198713253,Nishant2965,6,0
'723404656685158400,fangfanggo,15,0
'97306407,jay_g123,14,0
'1944043831,FelixGP9,13,0
'300414265,Metehan101,8,0
'552219540,M_Belen95,6,0
'2263922535,Yunus2630,26,0
'711922333254946816,ChitiyalaB,32,0
'2412399081,DeenBahaa,18,4
'2224401662,PakhwanT,22,0
'404720293,DennisLagamon,10,135
'3359601021,josnaswarna,54,621
'2789873896,ImranBoss786,507,2556
'580404743,baifern_suwanna,50,0
'2303531671,freshhua2007,23,0
'3241072159,begnaud3,14,1
'279260390,AHdaddy,9,108
'1722084266,Giuseppegvl,19,95
'554668617,ballislifeclint,315,467
'3248181261,nastyap86,65,445
'745409172,dks14305442,36,0
'1334510124,Brigitt04992698,6,0
'178830991,meldamiley99,13,3
'1440475706,1554256091,54,340
'94367498,carl0carl,14,123
'1656043070,suleiman_89,14,0
'848161798184251392,bMDCHZJi6xympyi,7,107
'878711856,stephaniehavre,24,75
'460801320,Nongsekung,23,0
'3306669098,AxlAyad,22,230
'41107923,mohilson,63,0
'55443175,eduardorigoni2,203,0
'846255248,A_Walters2013,53,131
'2217914172,chenfanchih,23,41
'589087588,BKool35,46,0
'435473332,Graace1010,18,93
'41964855,deeoliv,15,0
'1108562683,superpo3,50,315
'1082665639,Neawis0625,1,4
'804494065,nils_gro,14,0
'912702023707095041,Mattecodiesel,16,191
'94876870,domiii201,7,0
'2607516307,ugolempereur,74,787
'834377396568604672,Zylon_,91,12
'3139697222,zxc79319,8,98
'2241201072,christianadlys,104,0
'270920288,Kamile11,63,300
'2334054994,Seiperfettabett,211,1571
'519901919,lisasimpsn,3,0
'879281388,gingereightytwo,14,12
'1590105066,kyu_pp,5,0
'602177807,Cordia197,9,38
'247771492,habboserver1,11,213
'77241956,bdkistana,68,0
'2963138924,Bommii_ss,17,182
'420593215,helijie,49,0
'2369598896,36Junky,5,0
'349195083,KCdanAG,27,0
'564426747,francesmonicaba,101,0
'2385835042,610161749,43,382
'1404370153,UavrJosh,17,0
'929985246,FeketeErzsi,6,0
'586267218,ACIHBULZ,114,0
'2793370312,shadowlovers,9,0
'1007540035,LealOrtegaleal,33,0
'2302526738,Luisarteagab,16,0
'349474595,raemchst,28,2
'458188810,jamakoza,20,0
'293168686,RoshanKalyan,46,204
'364421595,IvoManolov1,100,0
'2398502523,kamyllynha2005,28,0
'3060815334,doodoopie12345,9,0
'794639228,chanteyx3,31,0
'3094392605,profwalter2011,35,0
'1386273607,hamzawi10000,25,0
'218429951,pinksnoow,24,2
'2204145506,IsabelleTetzlaf,9,0
'2541084617,1297_francesco,31,115
'2361093049,linqi8,13,54
'392070756,taylanevren,6,43
'2465604809,radhanandimalla,31,134
'2642384041,GrossiAnita,54,153
'1341881191,KamandarH,73,368
'422917071,naomy014,43,237
'1252352196,corentindawson,8,121
'3008571892,JOTPEZielony,22,156
'3518389576,Brodymama_2014,51,122
'3243035039,AllanWang86,23,0
'941050311048798209,nemesismobius87,14,126
'1148523116,Zzzzxd1,12,71
'2295387897,JuggernautGames,22,52
'624504254,LmMerlo,31,0
'397108441,NTawadchai,7,0
'875675018,lauqiankun,33,141
'1433099720,beastcube1,106,650
'215930903,oliver9891,8,103
'1879138982,dldhks010,16,0
'1192247869,hewei8,45,0
'256504053,kkts79,42,273
'895308093185286145,FixItFursuits,313,371
'4328785158,616086499Yyn,52,543
'923810017,niezlykolo,21,166
'493221023,mohamed65002793,25,156
'2202837700,479393197,16,0
'481359009,Kykuk1,19,233
'2387804934,JakobSonner,5,0
'886528338201690113,Zm1003431301,5,87
'596261094,cuishaozhuang,30,59
'83139493,Pao555,42,336
'709537515858960384,ThePhilBest,16,0
'590092229,NemethVanessza8,28,0
'271052936,Bgunman23,24,206
'231844929,angus319624,16,0
'501055703,IsabelVenturaR1,15,8
'760719056,wyj118,50,403
'379203550,agihiphop,41,0
'479277746,ha9700,10,52
'3281943973,funboy_supreme,8,0
'867713930675843074,NatzMacleods,6,26
'2256834600,terence2561,15,90
'2772611970,InfoBent,19,0
'339000335,LoveBeautyMost,44,58
'186389914,Dolceprincy,17,0
'102780950,lisababess1,28,0
'902406518871601152,akimq3,8,94
'2662764883,PMaciejak162,7,0
'855178908,K5Coach,3,0
'537469865,SophieFlorence3,24,36
'3299952416,laiyukun,41,0
'3244918321,TamaraUmarova,86,499
'536172911,arthurponcet,4,13
'2733540762,18d5b6918cd64b5,41,352
'2753652969,andy_alisiksel,34,0
'395771243,beyza325,3,0
'904242158,batriel,11,0
'216334785,MiNoo5i,118,0
'359381539,yinzhng1989,91,505
'2553215136,kickoffkiller2,26,149
'2547331828,minassummer,43,131
'3318159096,kasey_nmhistory,27,0
'2311716089,B_Cray43,17,59
'1333705722,Thanpisitjoyrin,8,109
'945777779815088128,Mario64894139,6,118
'328462759,emvib,12,0
'4708947332,e_rinae,4,0
'127619413,unaffectedscorn,13,0
'1074464268,totyoti,2,0
'348941775,jun21x,6,0
'767431677828210688,bSHtytiYfc5h8m4,14,110
'187922618,moowat,47,0
'607282194,515582077,73,0
'835142335,NorthHillsAppli,17,75
'2929389841,tomarkache,7,0
'429237980,albuquerquedis,69,0
'710313909220188161,tsoi_tkk,42,0
'2392775100,RastaGrzechu,20,127
'378929222,JonathanRMendez,11,120
'3113628861,Twiggy729,16,0
'343684819,vivianwangyao,16,142
'971399922,SamLsykss0530,13,2
'208439012,steven967854,16,1
'1051363123,CHANARYBEEE,7,0
'2510473509,CH3NG_Y,10,18
'2290179636,mido_defe,5,0
'558538617,gvrfrt,11,201
'113536946,sharath220,16,160
'496892557,beringerdebra,15,72
'402895078,wreshsandaru,4,0
'2836127250,ZyyAir,6,0
'2289697856,hallanaluanete,59,444
'3160483717,NSFW233666,8,165
'1533124184,391882769,7,7
'1703777425,Panithi69,8,2
'25836863,ste08,17,110
'2325779334,TrixiWallinger,4,0
'1171085702,TattoozSpec,34,93
'351812550,Triplereax,31,0
'743154940953108480,myrarityisreal1,49,0
'282172892,RaquelMCamillo,22,173
'833148576,kydikiller,11,0
'30902914,anitatrissya,269,0
'127778004,ERNESTLE,18,5
'927430320521060352,qyZUoXE9JCU44r1,17,0
'3141321879,woodenbatik,16,0
'3370937573,RaspakovkaRu,11,0
'1587956408,gmferng,20,136
'3294190231,SheilaACaruso2,126,825
'1377125624,Gina2a,8,0
'3861743894,GinoZhihui,91,0
'2908732562,mian_nasir786,23,0
'299769264,YeoYaoYong,33,82
'23490194,Claudinha_acss,269,898
'522317515,as063952,39,4
'134601390,Matheus_Ricieri,63,0
'1368387360,JerrypengJi,16,114
'437410381,vincenzobadalam,103,0
'2294191657,but_pll,37,0
'128813011,acslaura,14,0
'229937914,Yoanna8508,16,0
'760451945345581058,02Amadare,9,60
'2800316316,AAAAAAAries,25,170
'1175525528,D1m0N41Kk,50,509
'1529935464,Dyperwor,8,0
'592458149,02Lancer_david,57,0
'954049861661454338,ClaassenJeppe,20,0
'527741363,spitir,9,56
'573613393,simonsone13,45,0
'3097902315,HutchyPanda,5,0
'557850467,263446828Banana,15,70
'2993762087,JohanLexmond,2,0
'159532629,underchalo,138,705
'2606918813,HarrisKwame,20,101
'935387387751841792,OLwbh0c1bIRwdja,16,101
'164289189,Dubeuf,90,0
'1614303642,408568762,7,0
'844244666,ARTEZARELLA,178,2405
'701047718,KifO4o5,10,128
'313890581,RedSekhon,1,2
'1455757555,mellgrego,34,0
'1946039125,lingyilun_ling,28,0
'2739921457,GQK86,10,0
'503212274,HubertRonaldo,7,0
'353776829,laghzaoui1,70,0
'936697043363475456,VarronPlayz,70,34
'2221742982,vvPboy,14,69
'324241428,Kroocom_blue,32,58
'2821536997,evaching17,20,0
'1169191304,lanshutiao,5,0
'1623235430,Bubblegum787,4,0
'462134933,SMStokoe,5,0
'1131541688,ShannaHsieh,1,36
'2901686270,clara5ccc,73,600
'2561775218,puppydog1051,11,0
'81414178,thakinggg,24,165
'951477679445954560,Mr_LastCoin,38,0
'403985115,yun_jing,6,0
'2593867585,dayashu_cn,47,326
'1251523627,EKhoka,44,0
'1109264311,ZzLocket,16,0
'813369493,lx1412_1235,14,32
'4800290534,iclovej,29,204
'3165240928,TrevorRisdon,52,78
'1193197789,erdmann_jessica,75,596
'1124058085,ethanguoyichun,39,348
'2481135636,iwanyihuang,8,0
'21184007,TheShaneEffet,50,219
'604565116,travelsunflower,62,67
'1665779208,camcole116,6,0
'2155432393,mmarsyas,25,128
'2244624977,ArpagoMarco,75,0
'295743004,spright_ly,78,559
'347958423,HappyChubbyWoob,12,0
'1142694390,1343740845,14,0
'142316323,fabianoldm,157,974
'324117649,ksh1954,0,0
'934826705348415488,GraficLik,25,126
'1570050354,iloveme4983,42,0
'1065963768,Ahhdong126,15,109
'2322364490,841335046,66,466
'2982091460,manishsin3,12,74
'130533936,kwonohchan,11,0
'2251154594,RACHELISMEzyl,13,152
'409403390,Darla_Lopes01,41,34
'760448468477292544,zyhhhhhhh1,27,407
'99022196,pawnee122,6,0
'1110577146,sungmo9230,7,0
'92723959,RaRa_Music,255,431
'775418182362365952,Starfix001,45,0
'1460704189,hocuscorpusmeum,2,0
'1537678273,atualcorretora,8,0
'341175728,rasmahraz,44,579
'3053408725,1392080718Pei,19,198
'2757561408,matthewbraun_,67,129
'1338621288,cutefalife,4,0
'144766972,airsoftgn,10,0
'252846620,jogarbola10,65,545
'2790215287,chaubeypraveen1,50,390
'2156067347,retroidofficial,408,309
'1091434806,so0oo0o,22,170
'169279134,kennedyt17,34,266
'1702767823,LadislavZeman2,44,383
'1421819664,FeNixiZz31,17,70
'345168546,hyunchul75,12,0
'507285817,catscradlexx,15,0
'2387548776,Pierzyna123,21,207
'1605693110,Sioiiip,10,0
'498436208,levita_dedeus,57,533
'2388637316,shark0231k,34,298
'37437091,heszti,6,0
'631418138,HuntoWhoCanFly,30,327
'889078865909342210,reon0430am,3,0
'68134220,hordak92,97,494
'1057849802,strelec1155,24,194
'335817466,onlybeeeest,10,0
'400825292,rldrmsdl,12,51
'609507985,TomLamKing,13,0
'1412180816,seahawks49ers,42,202
'1685999072,SophiaLiu0913,5,17
'3062746783,bboxy1234,12,0
'191864670,blogg47,12,0
'1145296759,Aleks_kus11,37,0
'2547996011,keehner_isaac,197,235
'709941110,deogurule,19,88
'516560912,BrumJuly,64,597
'970864430,jasmin91151,17,122
'1290528602,DerekM5O1,38,258
'2595261620,ceannysanntos1,20,276
'147732221,amonjamal,55,0
'63087657,Nom1fan,90,721
'1715750250,radiosintoniane,37,0
'191550006,Amanur_manu,44,0
'2364777986,982155691,14,78
'253817179,Monchiitoow,26,74
'2234690252,xavier_moser,35,248
'2334841818,ava3012,15,129
'363585156,vhtmdwnf,5,0
'2833896074,sindhamvenky,23,218
'1145716970,balickip,48,561
'4049080876,stuartandjoy,43,220
'881923341195542528,LudicrousLupin,207,695
'2584040720,Pottan031231,25,1425
'86816164,gabimotaa,35,235
'574530789,ScheilaAntunes1,75,536
'261418790,trujerto,8,0
'2261581592,smoggyair,16,0
'2220094616,carlsworthhh,48,140
'2810597831,463527793Xue,43,397
'2310568436,caduzinocks123,32,0
'2165684922,309720042,17,71
'1219989612,alvarez_stanley,145,1743
'560193851,mediasnype,4,38
'2438314615,DeAtHc0r3,14,140
'350304061,samson19913,20,0
'233728097,FeR_AnZiH,75,471
'2796373706,Babel94De,15,0
'1452336769,GuyNano,13,137
'1536251791,mateusz19999999,13,164
'255188386,TokimiDamilola,62,255
'745624372723884032,monkeyrager,289,4709
'572167878,Abou8kNoha,17,192
'522504936,lucino123,4,0
'192186619,TonScruBB,10,120
'369977783,galegobom,27,242
'3185763698,DnnkTog,16,80
'154709960,talesMSS,38,0
'1473955993,XcYanis,13,147
'899735592,TomChmura2,26,249
'2328158863,mikedog234,25,0
'2279808041,manishagill1234,4,34
'799094856559824896,Mayerlass,20,152
'1547871625,DadjanaDadjana1,34,96
'847490275,tiago75433418,19,0
'2525895345,coestra1999,112,0
'1072430534,HuertaMarii,13,0
'1229963689,Comounchocorrol,37,0
'371882277,hrhr1230,43,331
'923973838140002304,Johnferrox,27,483
'1069478982,zizoubba,43,313
'925809727,LorraineThelian,52,237
'2646866648,Ziiiiiiinc,14,0
'1251557636,hashtagap,8,0
'140701873,abismalhate,40,0
'716665134,AnnaSiegen,8,0
'213184200,pinkminy,28,0
'101460238,Hajarin,17,0
'1522400450,socialmediaspro,40,343
'300043737,crazyclown88,87,773
'1174206132,281773073,21,188
'707024256375230464,bshplease1,16,57
'939932163142836224,PatrykP60655000,19,262
'2638740445,gokoaki,18,0
'1229802583,GameSieg,3,0
'2389440350,craZyFutiX,43,302
'187570384,shy7796,103,0
'90040053,jeanette025,24,189
'63495950,amrobedemarche,11,0
'224694512,kic521,17,89
'743721152091066369,m8m8mm8,33,220
'721305198,gao5641410791,21,126
'2355827569,Nsy_ying95,45,0
'952619810,gustavobmx360,163,0
'607315679,courtneykayden,8,0
'778051276848369664,supersmashpro1,20,0
'164260021,ksy7203,5,0
'295276745,Meliss46,109,569
'928405342081261568,Potasyum5,14,115
'94056478,kimberly005o,12,0
'2736519058,Innuxvallee,9,0
'454015896,blue0860,8,109
'348355596,martin24380,23,0
'944876372,swagz911,125,1017
'18184539,conversattc25,1,0
'337654862,greykoft,8,0
'46146586,babycakes2cute,9,0
'620953038,KHEIRADIFF,53,589
'37142257,colelemon,19,0
'440829623,masonslawoflife,31,297
'603918138,qazi_anees,36,317
'415774037,JeffAtPlayboy,6,0
'256999449,DannySleeper,19,132
'554703706,LucaEliaTattoo,9,48
'275331157,eve1579,6,0
'48610100,zildayunia,28,0
'3139183045,letgo126,21,0
'4531333585,Ekk_chow,4,116
'3200992803,nilzethferrari,23,0
'485579241,schili1980,13,0
'400606024,candou2A,8,0
'545366855,kevenottaviani,57,669
'885213122,Analyst_Amateur,12,63
'929082874694963201,EduardoLapa35,2,71
'2466525698,Zalking1337,15,94
'420232997,wah19821110,15,0
'2822494196,choibs3554,4,63
'247908888,Detdune,143,713
'749898852,benjarvis999,14,0
'3725437096,Funky_Red_Dog,13,0
'452562224,nunocgomes,78,0
'1541214056,Rachel_Yxx,10,0
'352893054,hiteshhsr,28,0
'1326249440,Enaughagetorrod,21,0
'3123712453,kincho0411,29,177
'1644843354,812983935,9,0
'881144278994493440,adsfnoeafndkasl,23,0
'184654882,dawara18,26,306
'2573317552,522232296,17,0
'782538235,Shaneeyface,44,345
'1543198231,PuertoricanRafi,35,0
'911880693214351360,UUgtFi46sgOu7Za,96,849
'540515725,AloysioBR,44,237
'277381697,mantzorc,2,0
'111459067,bakerwolf6,22,0
'2580525390,nowenfung,27,279
'2208042395,RodrigoVieiraS3,65,499
'2276491081,ugolini_gianni,6,0
'2706637558,zpkl2007,17,221
'400404667,rennedonwagner,134,965
'394771348,_florian2,27,44
'958048997838606337,2211_lee,14,27
'817829940,rasiiq,14,0
'914231549385732098,sineddul,53,418
'907933450643968001,MIYaBi35296849,6,0
'2234815148,mts8201,5,0
'2408422722,Mr4gia,7,1
'728763021531582464,zzzbq7,47,237
'443056267,SanitaSofija,47,0
'3012187212,tahirexperts,53,380
'970880978,TMCarter4,15,0
'365473788,schwichtenberge,10,0
'963170661236641792,pokeptreecorner,9,1
'775844696,PaulHay67682350,13,56
'2237800031,DehaEdouard,17,0
'89341823,TheSeanLocktiy,24,0
'164515040,FreepWho,19,0
'218818889,wowyongsuk,36,0
'2984075455,qq565212209,13,0
'328180580,Demian_J,49,0
'3392711529,barritchelli,14,153
'3295016705,Dan_Morris98,29,319
'441934919,AguiarArrthur,17,119
'965018738,Akito2142,21,127
'265204298,cooljoshua14,15,0
'2606414585,maanstringer,23,186
'1669198416,BarreiroGabby,35,0
'185745786,BATISTAunida,35,0
'452732437,adriana_lmfao,30,0
'419061147,ReddManClub,67,442
'797867197,Leticia05082000,5,0
'832631012,jolentabauer1,16,111
'989540509,smashzz,15,4
'2410259044,irflexfillo,44,0
'290321017,rainmin0809,15,0
'3070291730,king_sheh,18,0
'962165178954665984,BLGlV6LVUPiiJnV,23,287
'193724847,seoyun83,14,4
'119003298,chloeshaylee,26,0
'508699245,kip_red,15,138
'401350573,GosziMaark,18,0
'154458712,devilarise,13,82
'749097990,HeiHeibb1028,42,386
'700111336,kaykracht,25,0
'2758561842,Blackbubule,17,19
'561378331,luciosolo91,14,223
'1572824683,Safia_sheikh1,17,0
'2795137174,ROGOFOS,41,270
'140593227,alfredoownlight,26,0
'1286694302,boompablock,43,106
'703173481,heyho0818,57,505
'373737718,Lei_Hu,8,35
'621301207,Leni_xD,24,187
'634687200,mariapp67,15,168
'386482138,aimosheng,167,0
'447437739,khalikill,12,123
'3042395780,steverider70,11,0
'2269886726,OcularBeans,14,14
'807389658,shabir105,1,0
'846430113071742977,Moore1Dylan,85,164
'1330945154,tanghui4,26,0
'588381636,vivekdharan1980,6,0
'770036112,eleni_kohilakis,32,0
'785011224,NoopyKhangura,118,0
'1598327844,tacticsrohesia,77,786
'923504508457635840,hdd199,6,51
'2644285942,Rajinde25802079,96,0
'2715191753,chedeemb,112,583
'137807219,fiorellalercari,23,101
'2731401655,GhostwarWarrior,18,80
'355760297,mntley261,16,118
'635376194,tavascecilia,20,0
'1590609612,Oldpolkinar,4,0
'50156715,beckstarr88,41,0
'748611486453538817,Aileen_yilin,4,0
'2397517609,vladenkooo,8,0
'3037281152,baishuxuan_1998,11,0
'336509982,Radvnszkiattila,2,0
'451497403,dnflwlqz111,35,0
'257812272,winceramics,17,0
'564622709,sportsmamma13,35,272
'68976292,7thgearAutowerk,67,275
'170212875,Cbpap1024,53,122
'1682853324,happy33552,6,60
'1914186871,iwgp133,12,0
'162733834,arnaudgib,13,0
'3131241837,killman6777,31,0
'844131212,Iyvan_Hudlovski,25,181
'586513011,jhoanebernal,32,0
'2829955435,GhostMaster69,18,207
'1316575975,Toric512,18,0
'275473484,vipersnake69,50,399
'1885181666,skgusdk1268,31,106
'826748565913534464,TheKeweFamily,392,337
'135895980,minorinomama,1,0
'924840912223584261,Wonderho2,15,0
'3377564565,LilBittaBeast,16,0
'1016951575,Vlonjati_Ita,37,274
'1477846345,nikky905,29,0
'1375137698,bassek1998,18,95
'844230838913040389,Flying5hitz,63,542
'1656971502,andrey41976514,6,75
'317982728,Indahhmaret,71,0
'403250926,wldms0918,16,0
'3036406953,snezhinka10633,146,0
'928229093853802497,mandruy_actyvno,13,0
'2887030182,pujiangview,12,0
'516550591,bell302501,66,709
'2333858388,Louisecrab,45,0
'1218727514,jrramirez86,69,673
'1972463287,l3alley,7,67
'2946443753,didolambo_diane,65,362
'577312265,lullehill,8,11
'2228379762,martincindy8,36,0
'1513394275,gisafat,104,523
'239374670,lusantos_95,148,568
'2305362732,jazzmin_lopezz,109,60
'557828271,DebbyMeldasari,0,0
'365337196,brentshinH,8,0
'2937736052,Ironneili,64,0
'905296069,iop7612,22,131
'565586331,judyzhulin,24,104
'376723789,hollyhock123123,6,3
'66446535,mmmartinaaa,7,0
'334548664,valeevrr,9,0
'328894182,raul8792,143,1003
'2516637914,k9tyson01,8,0
'1521031398,jair_mova,44,559
'204137389,LA_Telephone,38,180
'3184923952,Giacomo83Tony,3,0
'549251505,hnbessa,123,1020
'598540839,CuatroSB,31,220
'762827277226823680,angelawang36,15,0
'1447287780,SuperSimogf,31,0
'309604624,KrolyBurjn,10,0
'241299171,Marshallnator,25,0
'1547962388,Ingoughas,1,0
'976882922,NmaLevente,10,0
'360132407,gege073,5,0
'208123960,messamhc,31,338
'4878086079,JustFraplime,25,0
'320703608,georgrar,66,255
'602395149,lhy117,16,0
'974876454,ScarllySeplveda,22,0
'237423102,sy850308,13,0
'145442174,simpledeviant,10,4
'501090743,AlessZana,26,0
'1335469922,_Matheus_0074,28,0
'1348540452,nfjodorov,50,276
'871409005,Michel_DHA,79,458
'1515661928,64956836,41,0
'712243890158342144,SunnyZee4,43,0
'735184021,tonicvee,23,0
'2769558896,Ss3wwww,11,0
'935162057435082752,Xinan_lrdBison,38,0
'1213183585,pnx_n,32,265
'3410104214,Mr520Lucas,23,282
'3129442376,Kami_human,60,281
'537925902,ShakiryMira,29,93
'791207467,lastKagemusha,39,220
'3241468736,LloydDreynolds,38,0
'533316063,rodrigoreisgon2,21,134
'85048933,ancsiika13,4,0
'470444986,Po_ohme,150,0
'1492311344,Hip_Lady_Hop,10,0
'153235973,Clodedesjardins,12,8
'353160684,JACKELINEPEREI3,14,0
'1461222152,ru_yusuf,29,145
'2559227737,Galant1Emilia,8,0
'229082965,fatimahojo,14,0
'2579919073,TOUGHGloria,21,0
'42352323,lampsonfung,5,21
'2201459827,hussain_farhath,18,165
'892746548,dragonxxleo,20,157
'510437747,flo871,31,246
'994016827,RomeoAGRI,5,0
'615372378,jordyxsille,118,0
'428932257,meavle1,10,0
'1856861858,VictoriaLesbats,3,0
'377071798,Celeste_s2_,31,161
'601810178,chapa3211,7,0
'541565294,SuperWavex,86,604
'1501108129,francescorestan,38,579
'2912880004,TaZeRDK,44,548
'2356692775,keitf213,15,103
'317778149,CaHennessy,16,76
'379566257,leo_speedman,13,10
'303374156,taylorger,106,910
'348698747,Sany_27,23,0
'201239580,Indian_Oil,450,0
'269335937,gilbertonego,44,177
'1375129896,wikizy89,25,126
'109512694,Faimuenwai,35,167
'366037536,ashokkiller14,62,262
'45604056,stjessee,20,0
'393441445,gabrielrhuan1,12,65
'507008732,bernagene,2,4
'225236431,hongilk1,6,0
'263083253,Garasos89,7,0
'374437561,4realuskhad,6,24
'460523483,steveuzoh,30,0
'1150778736,TanaWan24902093,58,341
'4061775263,planetelila,5,0
'272273675,sumhain,19,130
'1246264112,Andr_Clark,29,0
'770640750589595649,marcoye77,32,0
'559185973,Cecil_SINS,429,0
'2822929736,fallcreature99,25,188
'2445456956,525251154,6,0
'2411176668,yuan_summer,5,0
'1130265906,502076127,37,0
'2673810416,GKDani1,14,0
'851587440,vvikkram,51,380
'494029098,HergonMario,36,0
'1225303016,pennyxxx11,6,34
'838856034,tranphuocphu,18,0
'1337336354,sazbozolltan201,9,0
'586887105,emz1788,26,0
'2815113717,nini_teresa,17,59
'3026668412,willdouggriffin,65,0
'1551174308,Tannerhoughton,32,306
'4771594633,yuejianxiao,20,169
'864678757,fahmidumbo1,72,819
'223170733,eggihro,31,299
'631952346,DisorbeX,9,61
'1716427885,kwaltid,22,228
'740451604613238784,RygMr,110,0
'168547024,VontooScott,18,0
'785072731,ZwJ_SmilE,1,0
'434703294,zhangaump,20,0
'796317456,kampar_ch,19,0
'583560637,FILIPEXLIPEX,2,0
'4568560635,Kingbolun,12,76
'150220384,Burrton10,12,0
'2370556363,lankai0626,26,172
'66392004,PaulaLeBreton,44,0
'113337882,zackumad,79,0
'140344616,BreymarAiyl,147,364
'788889859,furioballi,16,77
'293863106,DavidZurcher1,62,111
'208051948,YoonjeaForever,6,66
'578048089,sackmen62,14,117
'1096162627,Laura0622laura,25,181
'2228291571,GinaAwesome,21,12
'1125225960,SanderSanknu,140,968
'2851057252,valeriodio1,6,0
'1016787217,lucas90706345,117,814
'32618953,sirjejckwkkekf,59,381
'296206563,aubinho_fashion,14,0
'760831604,AlexandraCappeG,131,0
'163781847,won8058,27,0
'272843761,karayertem,37,261
'1145189106,lsskm_,55,246
'794674124983570432,RealFieryPro,15,97
'1192754263,Benzzy11,4,0
'1055215344,naomiecazzular,13,0
'4824943834,ItsSTLGaming,86,131
'1470606913,PotibalazsBalzs,8,0
'1174915776,kitty40433,12,0
'209643392,Kangminki,53,431
'2206602608,Mahmoud_Ayash_1,29,11
'2865334970,AskkGenesis,47,382
